BBI_ID	Hughes_ID	TF_family	SSID	Barcode	HNGC	Clone suffix	Clone suffix Pt2	Instance of the HNGC
UT380-009	AHCTF1.DBD	AT hook	SS001	BC01	AHCTF1	DBD		1
UT380-012	AKAP8L.DBD	C2H2 ZF	SS001	BC02	AKAP8L	DBD		1
UT380-022	BATF2.FL	bZIP	SS001	BC03	BATF2	FL		1
UT380-023	BHLHA9.FL	bHLH	SS001	BC04	BHLHA9	FL		1
UT380-028	CASZ1.DBD.1	C2H2 ZF	SS001	BC05	CASZ1	DBD	1	1
UT380-042	CREB3L3.FL	bZIP	SS001	BC06	CREB3L3	FL		1
UT380-055	DMRTB1.FL	DM	SS001	BC07	DMRTB1	FL		1
UT380-064	ELF3.FL	Ets; AT hook	SS001	BC08	ELF3	FL		1
UT380-070	FIZ1.FL	C2H2 ZF	SS001	BC10	FIZ1	FL		1
UT380-075	GATAD2B.FL	GATA	SS001	BC11	GATAD2B	FL		1
UT380-090	HSFX1.FL	HSF	SS001	BC12	HSFX1	FL		1
UT380-038	CHAMP1.DBD	C2H2 ZF	SS003	BC01	CHAMP1	DBD		1
UT380-056	DMTF1.DBD	Myb/SANT	SS003	BC02	DMTF1	DBD		1
UT380-198	SP100.DBD	SAND	SS003	BC03	SP100	DBD		1
UT380-095	KAT7.DBD	C2H2 ZF	SS003	BC04	KAT7	DBD		1
UT380-096	KAT7.FL	C2H2 ZF	SS003	BC05	KAT7	FL		2
UT380-103	LEUTX.FL	Homeodomain	SS003	BC06	LEUTX	FL		1
UT380-104	MAZ.FL	C2H2 ZF	SS003	BC07	MAZ	FL		1
UT380-113	MKX.FL	Homeodomain	SS003	BC08	MKX	FL		1
UT380-125	MYT1.DBD.1	C2H2 ZF	SS003	BC09	MYT1	DBD	1	1
UT380-126	MYT1.DBD.2	C2H2 ZF	SS003	BC10	MYT1	DBD	2	2
UT380-142	PEG3.DBD.1	C2H2 ZF	SS003	BC11	PEG3	DBD	1	1
UT380-093	JRK.DBD	CENPB	SS004	BC01	JRK	DBD		1
